machine_id;tool_wear_min;machine_failure;risk_rank;risk_tier
4900;219;0;150;1
5825;219;0;151;1
755;219;0;152;1
1171;219;0;153;1
1681;219;0;154;1
2164;219;0;155;1
2671;219;0;156;1
3026;219;0;157;1
2855;219;0;158;1
2499;218;0;159;1
2332;218;1;160;1
4028;218;0;161;1
3863;218;0;162;1
3449;218;0;163;1
3192;218;0;164;1
1596;218;1;165;1
1251;218;0;166;1
502;218;0;167;1
332;218;0;168;1
162;218;1;169;1
250;218;1;170;1
5994;218;0;171;1
5389;218;0;172;1
4208;218;1;173;1
6170;218;0;174;1
6675;218;0;175;1
9661;218;0;176;1
9759;218;1;177;1
8283;218;0;178;1
8608;218;0;179;1
8197;217;0;180;1
9019;217;1;181;1
9494;217;1;182;1
9340;217;0;183;1
7088;217;1;184;1
6507;217;0;185;1
7682;217;0;186;1
7849;217;0;187;1
8025;217;0;188;1
7937;217;0;189;1
7254;217;0;190;1
4298;217;0;191;1
4379;217;0;192;1
4731;217;0;193;1
4640;217;0;194;1
5824;217;0;195;1
754;217;0;196;1
1170;217;0;197;1
1509;217;0;198;1
1422;217;0;199;1
1680;217;0;200;1
2163;217;0;201;1
3025;217;0;202;1
2854;216;0;203;1
2764;216;0;204;1
3191;216;0;205;1
3448;216;0;206;1
1332;216;0;207;1
1250;216;0;208;1
249;216;1;209;1
161;216;1;210;1
5993;216;0;211;1
5388;216;0;212;1
7427;216;1;213;1
6674;216;1;214;1
9660;216;1;215;1
9493;215;0;216;1
9758;215;0;217;1
8930;215;0;218;1
8196;215;1;219;1
8607;215;0;220;1
6845;215;0;221;1
7087;215;0;222;1
6506;215;0;223;1
6169;215;0;224;1
7339;215;0;225;1
7848;215;0;226;1
7681;215;0;227;1
5490;215;0;228;1
5310;215;1;229;1
5654;215;0;230;1
5738;215;0;231;1
4639;215;0;232;1
4730;215;1;233;1
4817;215;1;234;1
4986;215;0;235;1
4297;215;1;236;1
4207;215;0;237;1
331;215;0;238;1
501;215;0;239;1
753;215;0;240;1
585;215;0;241;1
849;215;0;242;1
927;215;1;243;1
1169;215;0;244;1
1679;215;0;245;1
1595;215;0;246;1
3862;215;0;247;1
4027;215;0;248;1
3024;215;0;249;1
2162;215;0;250;1
2331;215;0;251;1
2498;215;0;252;1
2763;214;0;253;1
2670;214;0;254;1
3530;214;1;255;1
3190;214;0;256;1
3110;214;0;257;1
1249;214;0;258;1
1331;214;0;259;1
1421;214;0;260;1
1508;214;0;261;1
160;214;0;262;1
248;214;0;263;1
4378;214;0;264;1
4899;214;0;265;1
5823;214;0;266;1
5992;214;0;267;1
6084;214;0;268;1
5387;214;0;269;1
7936;214;0;270;1
7511;214;1;271;1
6673;214;0;272;1
9018;214;0;273;1
9659;214;0;274;1
9757;213;0;275;1
9989;213;0;276;1
8929;213;0;277;1
8606;213;0;278;1
8195;213;0;279;1
8282;213;0;280;1
6844;213;0;281;1
7086;213;0;282;1
6589;213;0;283;1
7426;213;0;284;1
7680;213;0;285;1
7338;213;0;286;1
5489;213;1;287;1
5309;213;0;288;1
5653;213;0;289;1
4985;213;1;290;1
4729;213;0;291;1
4206;213;0;292;1
4122;213;1;293;1
4296;213;0;294;1
500;213;0;295;1
418;213;0;296;1
848;213;1;297;1
1168;213;1;298;1
1594;213;0;299;1
3274;213;0;300;1
3861;213;0;301;1
3023;213;0;302;1
2853;213;0;303;1
2330;213;0;304;1
2161;213;0;305;1
2083;212;0;306;1
2497;212;0;307;1
2762;212;1;308;1
3109;212;0;309;1
3529;212;1;310;1
3364;212;0;311;1
1678;212;0;312;1
1248;212;0;313;1
1507;212;0;314;1
1420;212;1;315;1
752;212;0;316;1
247;212;0;317;1
4638;212;0;318;1
5737;212;0;319;1
5822;212;0;320;1
6083;212;0;321;1
7253;212;0;322;1
7510;212;1;323;1
7847;212;0;324;1
8024;212;0;325;1
6505;212;0;326;1
6168;212;0;327;1
6672;212;0;328;1
9017;212;1;329;1
9834;212;0;330;1
9658;212;0;331;1
9492;212;0;332;1
9339;212;0;333;1
8281;211;0;334;1
8194;211;0;335;1
8605;211;0;336;1
6843;211;0;337;1
7085;211;0;338;1
7935;211;0;339;1
5991;211;0;340;1
5308;211;0;341;1
4984;211;0;342;1
4377;211;0;343;1
4470;211;1;344;1
159;211;0;345;1
417;211;0;346;1
499;211;0;347;1
1593;211;0;348;1
3447;211;0;349;1
3189;211;0;350;1
3860;211;0;351;1
2669;211;0;352;1
2852;211;0;353;1
3022;211;0;354;1
2329;211;0;355;1
2160;210;0;356;1
2761;210;0;357;1
4026;210;0;358;1
3778;210;0;359;1
3273;210;0;360;1
3363;210;0;361;1
1419;210;0;362;1
1506;210;0;363;1
1167;210;0;364;1
330;210;0;365;1
751;210;0;366;1
584;210;0;367;1
847;210;0;368;1
926;210;0;369;1
4295;210;0;370;1
4121;210;1;371;1
4205;210;0;372;1
4637;210;0;373;1
4728;210;1;374;1
4816;210;0;375;1
5488;210;0;376;1
6082;210;0;377;1
5821;210;0;378;1
5736;210;0;379;1
5652;210;0;380;1
7846;210;0;381;1
8023;210;0;382;1
7425;210;0;383;1
7679;210;0;384;1
6926;210;0;385;1
6671;210;0;386;1
6341;210;1;387;1
6420;210;1;388;1
6588;210;0;389;1
9016;210;1;390;1
8928;210;0;391;1
9657;210;0;392;1
9833;210;0;393;1
9988;210;0;394;1
9491;209;0;395;1
8193;209;1;396;1
8280;209;0;397;1
6504;209;0;398;1
7084;209;1;399;1
7509;209;0;400;1
7252;209;0;401;1
8112;209;1;402;1
7934;209;0;403;1
5990;209;0;404;1
5386;209;0;405;1
5222;209;0;406;1
4983;209;0;407;1
4898;209;0;408;1
4469;209;0;409;1
4376;209;0;410;1
674;209;0;411;1
498;209;0;412;1
416;209;0;413;1
246;209;0;414;1
1330;209;0;415;1
1592;209;0;416;1
1764;209;1;417;1
3528;209;0;418;1
3108;209;0;419;1
3859;209;0;420;1
3021;209;0;421;1
2851;209;0;422;1
2082;209;0;423;1
2496;209;0;424;1
2328;208;0;425;1
2760;208;0;426;1
2668;208;0;427;1
2590;208;0;428;1
3777;208;0;429;1
3188;208;0;430;1
3362;208;0;431;1
3446;208;0;432;1
1505;208;0;433;1
1418;208;0;434;1
1166;208;0;435;1
78;208;1;436;1
750;208;0;437;1
583;208;0;438;1
925;208;0;439;1
846;208;0;440;1
4120;208;1;441;1
4294;208;0;442;1
4815;208;1;443;1
5487;208;0;444;1
5910;208;1;445;1
6081;208;0;446;1
5651;208;0;447;1
5735;208;1;448;1
5820;208;0;449;1
7845;208;0;450;1
7337;208;0;451;1
7424;208;0;452;1
7678;208;0;453;1
7594;208;1;454;1
6925;208;1;455;1
7005;208;0;456;1
6670;208;0;457;1
6760;208;1;458;1
6842;208;0;459;1
6587;208;0;460;1
6340;208;0;461;1
9832;208;0;462;1
9756;208;0;463;1
9987;207;0;464;1
9490;207;0;465;1
9338;207;0;466;1
9415;207;1;467;1
8279;207;0;468;1
8440;207;0;469;1
8691;207;1;470;1
8927;207;1;471;1
9015;207;1;472;1
6167;207;0;473;1
6503;207;0;474;1
7083;207;0;475;1
7508;207;0;476;1
7933;207;0;477;1
8022;207;0;478;1
5221;207;0;479;1
4727;207;0;480;1
4636;207;0;481;1
4204;207;0;482;1
4375;207;0;483;1
4468;207;0;484;1
4553;207;0;485;1
415;207;0;486;1
1247;207;0;487;1
1677;207;0;488;1
1591;207;0;489;1
3107;207;0;490;1
3272;207;0;491;1
3612;207;1;492;1
3696;207;1;493;1
3945;207;0;494;1
4025;207;1;495;1
2850;207;0;496;1
3020;207;1;497;1
2495;207;1;498;1
2081;207;0;499;1
2159;207;0;500;1
2589;206;0;501;1
3445;206;0;502;1
3361;206;0;503;1
1918;206;0;504;1
1165;206;0;505;1
1088;206;1;506;1
1504;206;0;507;1
1329;206;0;508;1
497;206;0;509;1
77;206;0;510;1
245;206;0;511;1
158;206;0;512;1
845;206;0;513;1
582;206;0;514;1
673;206;0;515;1
4119;206;0;516;1
4897;206;0;517;1
4982;206;0;518;1
5307;206;0;519;1
5486;206;0;520;1
5385;206;0;521;1
5567;206;0;522;1
5819;206;0;523;1
5734;206;0;524;1
8192;206;0;525;1
7677;206;0;526;1
7423;206;0;527;1
7336;206;0;528;1
7251;206;0;529;1
7168;206;1;530;1
7004;206;0;531;1
6924;206;0;532;1
6841;206;0;533;1
6759;206;0;534;1
6669;206;0;535;1
6257;206;1;536;1
6339;206;0;537;1
9098;206;0;538;1
8604;206;0;539;1
9831;206;1;540;1
9908;206;0;541;1
9755;205;0;542;1
9414;205;0;543;1
9337;205;0;544;1
9577;205;1;545;1
9656;205;0;546;1
8690;205;0;547;1
8439;205;0;548;1
6166;205;0;549;1
6419;205;0;550;1
6586;205;0;551;1
7082;205;0;552;1
7593;205;0;553;1
7507;205;0;554;1
7932;205;0;555;1
7844;205;0;556;1
5650;205;0;557;1
6080;205;0;558;1
5909;205;0;559;1
5220;205;1;560;1
5142;205;1;561;1
4635;205;0;562;1
4814;205;0;563;1
4203;205;0;564;1
4293;205;1;565;1
4467;205;0;566;1
924;205;0;567;1
414;205;0;568;1
329;205;0;569;1
1417;205;0;570;1
1676;205;0;571;1
3271;205;0;572;1
3106;205;0;573;1
3187;205;0;574;1
4024;205;0;575;1
3944;205;1;576;1
2759;205;0;577;1
2327;205;0;578;1
2494;204;0;579;1
2158;204;0;580;1
2080;204;0;581;1
2588;204;0;582;1
3019;204;0;583;1
2849;204;0;584;1
3858;204;0;585;1
3695;204;0;586;1
3611;204;0;587;1
3360;204;0;588;1
3444;204;0;589;1
3527;204;0;590;1
1763;204;0;591;1
1590;204;0;592;1
1917;204;0;593;1
1503;204;0;594;1
1328;204;0;595;1
1087;204;0;596;1
1164;204;0;597;1
1246;204;0;598;1
244;204;0;599;1
76;204;0;600;1
844;204;0;601;1
672;204;0;602;1
4374;204;0;603;1
4552;204;0;604;1
4118;204;1;605;1
4726;204;0;606;1
5566;204;0;607;1
5384;204;0;608;1
5989;204;0;609;1
5733;204;0;610;1
5818;204;0;611;1
8111;204;0;612;1
7676;204;0;613;1
7250;204;0;614;1
7335;204;0;615;1
6923;204;0;616;1
6758;204;0;617;1
6840;204;0;618;1
6502;204;0;619;1
6256;204;1;620;1
8603;204;0;621;1
9097;204;0;622;1
8926;204;0;623;1
8847;204;1;624;1
9489;204;0;625;1
9655;203;1;626;1
9336;203;0;627;1
9413;203;0;628;1
9754;203;0;629;1
9830;203;0;630;1
9907;203;0;631;1
8689;203;0;632;1
8438;203;1;633;1
8358;203;1;634;1
6338;203;0;635;1
6418;203;0;636;1
6585;203;0;637;1
7081;203;0;638;1
7422;203;0;639;1
7167;203;0;640;1
7506;203;0;641;1
8191;203;0;642;1
7843;203;0;643;1
7931;203;0;644;1
7762;203;0;645;1
5649;203;0;646;1
6079;203;1;647;1
5485;203;0;648;1
5219;203;0;649;1
4634;203;0;650;1
4813;203;0;651;1
4981;203;0;652;1
4896;203;0;653;1
4202;203;0;654;1
4292;203;0;655;1
4466;203;0;656;1
749;203;0;657;1
581;203;0;658;1
1007;203;0;659;1
157;203;0;660;1
328;203;1;661;1
413;203;0;662;1
1416;203;0;663;1
1675;203;0;664;1
3186;203;0;665;1
3776;203;0;666;1
4023;203;0;667;1
2942;203;1;668;1
2667;203;0;669;1
2758;203;0;670;1
2245;203;1;671;1
2326;203;0;672;1
2587;202;0;673;1
2848;202;0;674;1
3018;202;0;675;1
3943;202;0;676;1
3694;202;0;677;1
3105;202;0;678;1
3270;202;0;679;1
3526;202;0;680;1
3359;202;0;681;1
1762;202;0;682;1
1589;202;0;683;1
1916;202;0;684;1
1327;202;0;685;1
1245;202;0;686;1
1163;202;1;687;1
1086;202;1;688;1
243;202;1;689;1
75;202;0;690;1
923;202;0;691;1
671;202;0;692;1
5063;202;0;693;1
4725;202;0;694;1
5141;202;0;695;1
5383;202;0;696;1
5565;202;0;697;1
5988;202;0;698;1
5732;202;0;699;1
5817;202;0;700;1
8110;202;0;701;1
8021;202;0;702;1
7675;202;0;703;1
7592;202;1;704;1
7249;202;0;705;1
6922;202;0;706;1
6839;202;0;707;1
6757;202;0;708;1
6255;202;0;709;1
8278;202;0;710;1
8522;202;0;711;1
8772;202;0;712;1
9096;202;0;713;1
9014;202;0;714;1
9986;202;0;715;1
9488;202;0;716;1
9576;202;0;717;1
9654;201;1;718;1
9412;201;0;719;1
9335;201;0;720;1
9258;201;0;721;1
9829;201;0;722;1
9753;201;0;723;1
8846;201;0;724;1
8437;201;0;725;1
6337;201;0;726;1
6501;201;0;727;1
6668;201;0;728;1
7003;201;0;729;1
7080;201;0;730;1
7166;201;0;731;1
7421;201;0;732;1
7334;201;0;733;1
7505;201;0;734;1
8190;201;0;735;1
7842;201;0;736;1
6078;201;0;737;1
5306;201;0;738;1
4465;201;0;739;1
4373;201;0;740;1
4551;201;0;741;1
4291;201;0;742;1
4201;201;0;743;1
4117;201;0;744;1
748;201;0;745;1
1006;201;0;746;1
843;201;0;747;1
412;201;0;748;1
496;201;0;749;1
327;201;0;750;1
1502;201;0;751;1
3443;201;0;752;1
3185;201;0;753;1
3610;201;0;754;1
3857;201;0;755;1
2941;201;0;756;1
2666;201;0;757;1
2757;201;0;758;1
2325;201;0;759;1
2244;201;0;760;1
2079;201;0;761;1
2157;201;0;762;1
2847;200;0;763;1
3017;200;0;764;1
3942;200;0;765;1
3693;200;0;766;1
3775;200;0;767;1
3104;200;0;768;1
1415;200;0;769;1
1162;200;1;770;1
1915;200;0;771;1
1761;200;0;772;1
1674;200;0;773;1
74;200;0;774;1
242;200;0;775;1
580;200;0;776;1
4724;200;1;777;1
4633;200;1;778;1
4812;200;0;779;1
5062;200;1;780;1
4980;200;0;781;1
5218;200;0;782;1
5382;200;0;783;1
5484;200;0;784;1
5987;200;0;785;1
5908;200;0;786;1
5816;200;0;787;1
5731;200;0;788;1
7930;200;0;789;1
7761;200;0;790;1
8020;200;0;791;1
6584;200;0;792;1
6254;200;0;793;1
6165;200;0;794;1
8357;200;0;795;1
8277;200;0;796;1
8688;200;0;797;1
8771;200;0;798;1
9013;200;0;799;1
9175;200;1;800;1
9906;200;0;801;1
9752;199;0;802;1
9257;199;0;803;1
9334;199;0;804;1
9487;199;0;805;1
9095;199;0;806;1
8925;199;0;807;1
8602;199;0;808;1
8521;199;0;809;1
6500;199;0;810;1
7079;199;0;811;1
7002;199;0;812;1
6921;199;0;813;1
6667;199;0;814;1
6756;199;0;815;1
6838;199;0;816;1
8109;199;0;817;1
7841;199;0;818;1
7591;199;0;819;1
7674;199;0;820;1
7420;199;0;821;1
7248;199;0;822;1
6077;199;0;823;1
5564;199;0;824;1
5140;199;0;825;1
5305;199;0;826;1
4550;199;0;827;1
4372;199;0;828;1
4464;199;0;829;1
747;199;1;830;1
842;199;0;831;1
326;199;0;832;1
495;199;0;833;1
1588;199;0;834;1
1839;199;0;835;1
1244;199;0;836;1
1085;199;0;837;1
3184;199;0;838;1
3269;199;0;839;1
3442;199;0;840;1
3525;199;0;841;1
2940;199;0;842;1
2756;199;0;843;1
2586;199;0;844;1
2156;199;0;845;1
2078;199;0;846;1
2243;199;0;847;1
2493;199;0;848;1
2324;198;0;849;1
2414;198;0;850;1
2665;198;0;851;1
2846;198;0;852;1
3016;198;0;853;1
3103;198;0;854;1
3692;198;0;855;1
3609;198;0;856;1
3941;198;0;857;1
4022;198;0;858;1
1501;198;0;859;1
1997;198;1;860;1
1673;198;0;861;1
411;198;0;862;1
156;198;0;863;1
73;198;0;864;1
579;198;0;865;1
4200;198;0;866;1
4290;198;0;867;1
4979;198;0;868;1
4895;198;0;869;1
5061;198;0;870;1
4632;198;0;871;1
5483;198;0;872;1
5381;198;0;873;1
5907;198;0;874;1
5986;198;0;875;1
5648;198;0;876;1
7333;198;0;877;1
7504;198;0;878;1
7929;198;0;879;1
7760;198;1;880;1
8189;198;0;881;1
8019;198;0;882;1
7165;198;0;883;1
6417;198;0;884;1
6583;198;0;885;1
6164;198;0;886;1
6253;198;0;887;1
6336;198;0;888;1
8356;198;0;889;1
8436;198;0;890;1
9653;198;0;891;1
9411;198;0;892;1
9828;198;0;893;1
9905;198;0;894;1
9751;197;0;895;1
9985;197;0;896;1
9256;197;0;897;1
9486;197;0;898;1
9575;197;0;899;1
8276;197;0;900;1
8520;197;0;901;1
8601;197;0;902;1
8687;197;0;903;1
8770;197;0;904;1
9012;197;0;905;1
6920;197;0;906;1
6755;197;0;907;1
6666;197;0;908;1
7840;197;0;909;1
7590;197;0;910;1
7247;197;0;911;1
5730;197;0;912;1
5815;197;0;913;1
6076;197;0;914;1
5563;197;0;915;1
5304;197;0;916;1
5217;197;0;917;1
4723;197;0;918;1
4811;197;0;919;1
4463;197;1;920;1
4371;197;1;921;1
4549;197;0;922;1
746;197;0;923;1
670;197;0;924;1
841;197;0;925;1
922;197;0;926;1
241;197;0;927;1
494;197;0;928;1
1838;197;0;929;1
1914;197;0;930;1
1414;197;0;931;1
1326;197;0;932;1
1084;197;0;933;1
1243;197;0;934;1
3774;197;0;935;1
3268;197;0;936;1
3524;197;0;937;1
3441;197;0;938;1
3358;197;0;939;1
2939;197;0;940;1
2585;197;0;941;1
2492;197;0;942;1
2242;197;0;943;1
2077;197;0;944;1
2155;196;0;945;1
2413;196;0;946;1
2323;196;0;947;1
2664;196;0;948;1
2845;196;0;949;1
3015;196;0;950;1
3183;196;0;951;1
3608;196;0;952;1
3691;196;0;953;1
4021;196;0;954;1
3940;196;0;955;1
3856;196;0;956;1
1996;196;0;957;1
1672;196;0;958;1
1587;196;0;959;1
410;196;0;960;1
325;196;0;961;1
155;196;0;962;1
72;196;0;963;1
1005;196;0;964;1
578;196;0;965;1
4116;196;0;966;1
4631;196;0;967;1
5060;196;0;968;1
4978;196;0;969;1
5139;196;0;970;1
5380;196;0;971;1
5482;196;0;972;1
7332;196;0;973;1
7419;196;0;974;1
7673;196;0;975;1
7928;196;0;976;1
7759;196;0;977;1
8018;196;0;978;1
8188;196;0;979;1
7001;196;0;980;1
7078;196;0;981;1
6163;196;0;982;1
6582;196;0;983;1
6416;196;0;984;1
9094;196;0;985;1
8924;196;0;986;1
8845;196;0;987;1
8355;196;0;988;1
9333;196;0;989;1
9410;196;0;990;1
9827;196;0;991;1
9904;195;0;992;1
9984;195;0;993;1
9255;195;0;994;1
9574;195;0;995;1
9485;195;0;996;1
9652;195;0;997;1
8435;195;0;998;1
8275;195;0;999;1
8600;195;0;1000;1
9174;195;0;1001;1
9011;195;0;1002;1
6252;195;0;1003;1
6335;195;0;1004;1
7164;195;0;1005;1
6919;195;0;1006;1
6665;195;0;1007;1
6754;195;0;1008;1
7839;195;0;1009;1
7589;195;0;1010;1
7246;195;0;1011;1
5303;195;0;1012;1
5814;195;0;1013;1
5647;195;0;1014;1
4894;195;0;1015;1
4722;195;0;1016;1
4810;195;0;1017;1
4199;195;0;1018;1
4289;195;0;1019;1
4462;195;0;1020;1
669;195;0;1021;1
745;195;0;1022;1
240;195;0;1023;1
493;195;0;1024;1
1760;195;0;1025;1
1837;195;0;1026;1
1161;195;0;1027;1
1500;195;0;1028;1
3773;195;0;1029;1
3267;195;1;1030;1
3357;195;1;1031;1
3440;195;0;1032;1
3523;195;0;1033;1
2938;195;0;1034;1
2584;195;0;1035;1
2076;195;1;1036;1
2241;195;0;1037;1
2412;194;0;1038;1
2755;194;0;1039;1
2844;194;0;1040;1
3014;194;0;1041;1
3182;194;0;1042;1
3690;194;0;1043;1
3607;194;0;1044;1
3855;194;1;1045;1
3939;194;0;1046;1
1413;194;0;1047;1
1325;194;1;1048;1
1242;194;0;1049;1
1913;194;0;1050;1
1671;194;0;1051;1
1586;194;0;1052;1
324;194;0;1053;1
154;194;0;1054;1
1004;194;0;1055;1
921;194;0;1056;1
840;194;0;1057;1
4548;194;0;1058;1
4115;194;0;1059;1
4630;194;0;1060;1
4977;194;1;1061;1
5059;194;0;1062;1
5729;194;0;1063;1
6075;194;0;1064;1
5138;194;0;1065;1
5216;194;0;1066;1
5379;194;0;1067;1
5562;194;0;1068;1
7927;194;1;1069;1
8187;194;0;1070;1
8108;194;0;1071;1
6837;194;0;1072;1
7077;194;0;1073;1
6162;194;0;1074;1
6499;194;0;1075;1
6581;194;0;1076;1
9093;194;0;1077;1
8923;194;0;1078;1
8769;194;0;1079;1
8519;194;0;1080;1
8354;194;0;1081;1
9332;194;0;1082;1
9826;194;0;1083;1
8599;193;0;1084;1
9173;193;0;1085;1
9010;193;0;1086;1
6415;193;0;1087;1
6251;193;0;1088;1
7163;193;0;1089;1
6918;193;0;1090;1
7000;193;0;1091;1
6753;193;0;1092;1
6664;193;0;1093;1
8017;193;0;1094;1
7838;193;0;1095;1
7758;193;0;1096;1
7245;193;0;1097;1
7418;193;0;1098;1
7588;193;0;1099;1
7672;193;0;1100;1
7503;193;0;1101;1
5302;193;0;1102;1
5985;193;0;1103;1
5906;193;0;1104;1
5813;193;0;1105;1
4893;193;0;1106;1
4809;193;0;1107;1
4198;193;0;1108;1
4461;193;0;1109;1
744;193;0;1110;1
668;193;0;1111;1
239;193;0;1112;1
71;193;0;1113;1
492;193;0;1114;1
409;193;0;1115;1
1759;193;0;1116;1
1995;193;0;1117;1
1160;193;0;1118;1
1499;193;0;1119;1
4020;193;0;1120;1
3102;193;0;1121;1
3266;193;0;1122;1
3522;193;0;1123;1
3439;193;0;1124;1
3356;193;0;1125;1
2583;193;0;1126;1
2663;193;0;1127;1
2322;193;0;1128;1
2240;193;0;1129;1
2075;193;0;1130;1
2411;192;0;1131;1
2491;192;0;1132;1
2754;192;0;1133;1
3013;192;0;1134;1
2843;192;0;1135;1
2937;192;0;1136;1
3938;192;0;1137;1
3854;192;0;1138;1
3606;192;0;1139;1
3689;192;0;1140;1
3772;192;0;1141;1
1412;192;0;1142;1
1324;192;0;1143;1
1241;192;0;1144;1
1083;192;0;1145;1
1670;192;0;1146;1
323;192;0;1147;1
920;192;0;1148;1
1003;192;0;1149;1
4370;192;0;1150;1
4114;192;0;1151;1
4288;192;0;1152;1
4721;192;1;1153;1
4976;192;0;1154;1
5058;192;0;1155;1
5646;192;0;1156;1
5215;192;0;1157;1
5137;192;0;1158;1
5561;192;0;1159;1
5378;192;0;1160;1
8186;192;0;1161;1
6836;192;0;1162;1
7076;192;0;1163;1
6161;192;0;1164;1
6334;192;0;1165;1
6498;192;1;1166;1
6580;192;0;1167;1
8768;192;0;1168;1
8922;192;0;1169;1
8686;192;0;1170;1
8353;192;0;1171;1
8434;192;0;1172;1
8274;192;0;1173;1
9825;192;0;1174;1
9750;192;0;1175;1
9983;192;0;1176;1
9254;192;0;1177;1
9651;192;0;1178;1
9573;192;0;1179;1
9331;191;0;1180;1
9409;191;0;1181;1
8598;191;0;1182;1
8518;191;0;1183;1
8844;191;0;1184;1
9092;191;0;1185;1
6414;191;0;1186;1
6250;191;0;1187;1
7162;191;0;1188;1
8107;191;0;1189;1
7757;191;1;1190;1
7837;191;0;1191;1
7926;191;0;1192;1
7502;191;0;1193;1
7671;191;0;1194;1
7587;191;0;1195;1
7331;191;0;1196;1
5481;191;0;1197;1
5728;191;0;1198;1
5812;191;0;1199;1
6074;191;0;1200;1
4629;191;0;1201;1
4808;191;0;1202;1
4460;191;0;1203;1
4547;191;0;1204;1
667;191;0;1205;1
743;191;0;1206;1
577;191;0;1207;1
491;191;0;1208;1
70;191;1;1209;1
153;191;0;1210;1
1585;191;0;1211;1
1912;191;0;1212;1
1159;191;0;1213;1
1498;191;0;1214;1
3355;191;0;1215;1
3438;191;0;1216;1
3521;191;0;1217;1
3101;191;0;1218;1
3181;191;0;1219;1
2582;191;1;1220;1
2074;191;0;1221;1
2154;191;0;1222;1
2239;191;0;1223;1
2410;190;0;1224;1
2662;190;0;1225;1
2842;190;0;1226;1
3771;190;0;1227;1
3605;190;0;1228;1
3853;190;0;1229;1
3937;190;0;1230;1
4019;190;0;1231;1
1082;190;0;1232;1
1836;190;0;1233;1
1994;190;0;1234;1
1669;190;0;1235;1
1758;190;0;1236;1
238;190;0;1237;1
408;190;0;1238;1
322;190;0;1239;1
1002;190;0;1240;1
4369;190;0;1241;1
4197;190;0;1242;1
4975;190;0;1243;1
4892;190;0;1244;1
5905;190;0;1245;1
5645;190;0;1246;1
5136;190;0;1247;1
5301;190;0;1248;1
7417;190;0;1249;1
7244;190;0;1250;1
8185;190;0;1251;1
8016;190;0;1252;1
6999;190;0;1253;1
6917;190;0;1254;1
6835;190;0;1255;1
